iter	Passed	Remaining
1405	111299	47021
1406	111386	46945
1407	111447	46858
1408	111534	46782
1409	111617	46705
1410	111668	46614
1411	111741	46532
1412	111825	46455
1413	111897	46373
1414	111967	46290
1415	112047	46211
1416	112127	46132
1417	112197	46050
1418	112282	45973
1419	112346	45888
1420	112423	45808
1421	112507	45731
1422	112585	45651
1423	112658	45569
1424	112734	45489
1425	112808	45408
1426	112888	45329
1427	112981	45256
1428	113062	45177
1429	113135	45095
1430	113205	45013
1431	113275	44930
1432	113358	44853
1433	113430	44771
1434	113498	44687
1435	113577	44608
1436	113659	44530
1437	113746	44454
1438	113827	44376
1439	113904	44296
1440	113990	44219
1441	114060	44137
1442	114140	44058
1443	114220	43979
1444	114296	43899
1445	114379	43821
1446	114462	43744
1447	114533	43661
1448	114608	43581
1449	114689	43502
1450	114781	43428
1451	114871	43353
1452	114956	43276
1453	115042	43200
1454	115122	43121
1455	115199	43041
1456	115277	42962
1457	115344	42878
1458	115429	42801
1459	115508	42722
1460	115586	42642
1461	115667	42564
1462	115746	42485
1463	115818	42403
1464	115907	42327
1465	115989	42249
1466	116072	42172
1467	116150	42092
1468	116226	42012
1469	116315	41937
1470	116404	41861
1471	116484	41782
1472	116567	41704
1473	116661	41630
1474	116755	41557
1475	116821	41473
1476	116902	41394
1477	116982	41316
1478	117056	41235
1479	117131	41154
1480	117207	41074
1481	117273	40990
1482	117331	40903
1483	117394	40819
1484	117457	40734
1485	117535	40654
1486	117605	40572
1487	117702	40499
1488	117777	40419
1489	117840	40334
1490	117920	40256
1491	117993	40174
1492	118083	40099
1493	118154	40017
1494	118227	39936
1495	118303	39856
1496	118377	39775
1497	118468	39700
1498	118539	39618
1499	118611	39537
1500	118686	39456
1501	118772	39379
1502	118865	39305
1503	118954	39229
1504	119027	39148
1505	119103	39068
1506	119177	38987
1507	119244	38904
1508	119325	38826
1509	119409	38748
1510	119485	38668
1511	119564	38589
1512	119639	38509
1513	119717	38429
1514	119805	38353
1515	119879	38273
1516	119962	38195
1517	120034	38113
1518	120129	38039
1519	120202	37958
1520	120288	37881
1521	120370	37803
1522	120458	37727
1523	120554	37653
1524	120641	37576
1525	120718	37497
1526	120807	37421
1527	120895	37344
1528	120971	37264
1529	121042	37182
1530	121132	37107
1531	121221	37031
1532	121294	36950
1533	121367	36869
1534	121456	36793
1535	121552	36718
1536	121650	36645
1537	121721	36563
1538	121811	36488
1539	121891	36409
1540	121961	36327
1541	122035	36246
1542	122123	36170
1543	122198	36089
1544	122279	36011
1545	122343	35927
1546	122423	35848
1547	122500	35768
1548	122578	35689
